City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,2021-10-24 12:40:58,-20.4081,57.7,77.29,73,75,13.8,broken clouds
1,Mataura,NZ,2021-10-24 12:39:51,-46.1927,168.8643,51.49,93,100,0.25,overcast clouds
2,Thompson,CA,2021-10-24 12:40:59,55.7435,-97.8558,28.56,93,90,0.0,light snow
3,Te Anau,NZ,2021-10-24 12:40:59,-45.4167,167.7167,49.75,98,60,0.58,broken clouds
4,Qaanaaq,GL,2021-10-24 12:41:00,77.484,-69.3632,-1.1,60,0,8.32,clear sky
5,Saint-Philippe,RE,2021-10-24 12:41:00,-21.3585,55.7679,78.48,73,13,11.05,few clouds
6,Iqaluit,CA,2021-10-24 12:41:01,63.7506,-68.5145,29.93,86,90,10.0,overcast clouds
7,Vaini,TO,2021-10-24 12:40:28,-21.2,-175.2,68.16,88,20,4.61,few clouds
8,Verkhoyansk,RU,2021-10-24 12:41:02,67.5447,133.385,2.43,99,96,1.01,overcast clouds
9,Nouadhibou,MR,2021-10-24 12:41:02,20.931,-17.0347,78.78,53,0,17.27,clear sky
10,Bluff,NZ,2021-10-24 12:40:08,-46.6,168.3333,52.3,93,94,2.68,overcast clouds
11,Ushuaia,AR,2021-10-24 12:40:03,-54.8,-68.3,35.26,93,90,17.27,light rain
12,Severo-Kurilsk,RU,2021-10-24 12:40:27,50.6789,156.125,37.87,75,90,10.85,overcast clouds
13,Akodia,IN,2021-10-24 12:41:04,23.3833,76.6,73.47,54,0,1.7,clear sky
14,Port Alfred,ZA,2021-10-24 12:39:51,-33.5906,26.891,63.07,62,54,9.91,broken clouds
15,Hilo,US,2021-10-24 12:36:23,19.7297,-155.09,73.62,75,90,4.61,overcast clouds
16,Nioro,GM,2021-10-24 12:41:04,13.35,-15.75,90.55,54,61,5.7,broken clouds
17,Chernushka,RU,2021-10-24 12:41:04,56.5072,56.0766,43.45,70,100,10.29,overcast clouds
18,Avarua,CK,2021-10-24 12:40:12,-21.2078,-159.775,71.65,64,43,4.61,scattered clouds
19,Pipili,IN,2021-10-24 12:41:05,20.1167,85.8333,82.74,65,20,0.0,haze
20,Oni,GE,2021-10-24 12:41:05,42.5794,43.4425,56.41,58,100,3.29,overcast clouds
21,Port Elizabeth,ZA,2021-10-24 12:39:56,-33.918,25.5701,70.11,55,0,14.97,clear sky
22,Rikitea,PF,2021-10-24 12:39:50,-23.1203,-134.9692,74.39,72,99,16.28,overcast clouds
23,Castro,BR,2021-10-24 12:39:53,-24.7911,-50.0119,61.29,98,100,5.75,moderate rain
24,Tuktoyaktuk,CA,2021-10-24 12:39:58,69.4541,-133.0374,20.77,95,15,6.22,few clouds
25,Tuatapere,NZ,2021-10-24 12:41:06,-46.1333,167.6833,52.34,97,96,1.66,overcast clouds
26,Bengkulu,ID,2021-10-24 12:39:56,-3.8004,102.2655,77.18,86,69,1.77,moderate rain
27,Codrington,AU,2021-10-24 12:41:07,-38.2667,141.9667,50.74,61,100,11.99,overcast clouds
28,Matay,EG,2021-10-24 12:41:07,28.419,30.7792,82.02,25,0,17.02,clear sky
29,Emerald,AU,2021-10-24 12:41:07,-23.5333,148.1667,78.94,46,97,5.75,overcast clouds
30,Albany,US,2021-10-24 12:35:31,42.6001,-73.9662,40.8,91,0,2.1,clear sky
31,Clyde River,CA,2021-10-24 12:41:08,70.4692,-68.5914,13.46,79,28,7.63,scattered clouds
32,Cockburn Town,TC,2021-10-24 12:41:08,21.4612,-71.1419,82.54,72,19,18.57,few clouds
33,Salalah,OM,2021-10-24 12:41:08,17.0151,54.0924,84.29,61,0,12.66,clear sky
34,Saint Anthony,US,2021-10-24 12:41:09,45.0205,-93.218,40.12,79,1,1.01,clear sky
35,Saint-Francois,FR,2021-10-24 12:41:09,46.4154,3.9054,66.47,62,0,2.3,clear sky
36,Barrow,US,2021-10-24 12:41:09,71.2906,-156.7887,28.42,80,90,9.22,light snow
37,Hobart,AU,2021-10-24 12:40:07,-42.8794,147.3294,49.86,78,75,3.0,broken clouds
38,Klaksvik,FO,2021-10-24 12:41:10,62.2266,-6.589,50.92,90,97,23.0,overcast clouds
39,Shakhtinsk,KZ,2021-10-24 12:41:10,49.71,72.5872,49.53,43,6,8.28,clear sky
40,Quatre Cocos,MU,2021-10-24 12:41:11,-20.2078,57.7625,77.11,73,51,13.82,broken clouds
41,Qaqortoq,GL,2021-10-24 12:40:19,60.7167,-46.0333,32.5,53,100,2.42,overcast clouds
42,Mandalgovi,MN,2021-10-24 12:41:11,45.7625,106.2708,40.59,34,100,7.76,overcast clouds
43,Busselton,AU,2021-10-24 12:40:15,-33.65,115.3333,61.09,82,100,9.26,overcast clouds
44,Boa Vista,BR,2021-10-24 12:41:12,2.8197,-60.6733,80.58,78,40,4.61,scattered clouds
45,Augusto Correa,BR,2021-10-24 12:41:12,-1.0217,-46.635,88.3,59,55,8.12,broken clouds
46,Hermanus,ZA,2021-10-24 12:39:57,-34.4187,19.2345,71.91,55,1,12.48,clear sky
47,Bredasdorp,ZA,2021-10-24 12:40:24,-34.5322,20.0403,69.28,45,4,9.22,clear sky
48,Ayan,RU,2021-10-24 12:41:13,56.45,138.1667,38.86,63,100,5.57,overcast clouds
49,Ponta Do Sol,PT,2021-10-24 12:41:13,32.6667,-17.1,77.72,57,14,4.34,few clouds
50,Beloha,MG,2021-10-24 12:39:59,-25.1667,45.05,83.68,37,0,14.43,clear sky
51,Basoko,CD,2021-10-24 12:41:13,1.2391,23.616,76.14,90,100,4.34,light rain
52,Maketu,NZ,2021-10-24 12:41:14,-37.7667,176.45,58.95,100,100,9.91,overcast clouds
53,Pyapon,MM,2021-10-24 12:41:14,16.2833,95.6833,77.43,85,94,4.09,overcast clouds
54,East London,ZA,2021-10-24 12:40:59,-33.0153,27.9116,65.34,59,20,12.66,few clouds
55,Souillac,MU,2021-10-24 12:41:15,-20.5167,57.5167,77.38,73,75,13.8,broken clouds
56,Kuryk,KZ,2021-10-24 12:41:15,43.2,51.65,60.69,33,1,6.13,clear sky
57,San Cristobal,VE,2021-10-24 12:40:21,7.7669,-72.225,68.18,70,91,3.44,overcast clouds
58,Punta Arenas,CL,2021-10-24 12:37:10,-53.15,-70.9167,37.51,87,90,14.97,light rain
59,Road Town,VG,2021-10-24 12:40:44,18.4167,-64.6167,81.19,94,40,0.0,scattered clouds
60,Jamestown,US,2021-10-24 12:40:00,42.097,-79.2353,44.02,99,90,1.99,mist
61,Ambilobe,MG,2021-10-24 12:41:16,-13.2,49.05,92.05,42,44,6.26,scattered clouds
62,Champerico,GT,2021-10-24 12:41:16,14.3,-91.9167,84.34,88,95,6.51,overcast clouds
63,Puerto Ayora,EC,2021-10-24 12:41:17,-0.7393,-90.3518,69.57,88,91,7.85,overcast clouds
64,Port Keats,AU,2021-10-24 12:41:17,-14.25,129.55,82.49,74,95,6.53,overcast clouds
65,Doha,QA,2021-10-24 12:41:17,25.2867,51.5333,95.31,55,0,8.05,clear sky
66,Bulgan,MN,2021-10-24 12:41:18,48.8125,103.5347,35.67,49,7,4.21,clear sky
67,Chumikan,RU,2021-10-24 12:41:18,54.7183,135.315,38.35,81,84,14.38,broken clouds
68,Poum,NC,2021-10-24 12:41:18,-20.2333,164.0167,73.96,79,17,10.71,few clouds
69,Nhulunbuy,AU,2021-10-24 12:41:19,-12.2333,136.7667,83.01,69,90,8.05,overcast clouds
70,Mar Del Plata,AR,2021-10-24 12:40:16,-38.0023,-57.5575,57.87,49,0,10.0,clear sky
71,New Norfolk,AU,2021-10-24 12:41:19,-42.7826,147.0587,49.5,67,100,3.0,overcast clouds
72,Baykit,RU,2021-10-24 12:41:20,61.67,96.37,37.18,98,100,5.95,light rain
73,Yaan,NG,2021-10-24 12:41:20,7.3833,8.5667,86.18,58,56,4.47,broken clouds
74,Havoysund,NO,2021-10-24 12:41:20,70.9963,24.6622,31.08,70,99,5.28,light snow
75,Grande Prairie,CA,2021-10-24 12:39:33,55.1667,-118.8027,33.98,100,90,4.61,fog
76,Ostrovnoy,RU,2021-10-24 12:41:21,68.0531,39.5131,28.08,91,100,26.08,snow
77,Faanui,PF,2021-10-24 12:40:01,-16.4833,-151.75,75.45,89,100,8.9,moderate rain
78,Torbay,CA,2021-10-24 12:39:57,47.6666,-52.7314,61.57,94,75,16.11,light rain
79,Provideniya,RU,2021-10-24 12:40:22,64.3833,-173.3,20.5,81,71,8.46,broken clouds
80,Upernavik,GL,2021-10-24 12:39:01,72.7868,-56.1549,17.73,67,100,9.84,overcast clouds
81,Dikson,RU,2021-10-24 12:41:22,73.5069,80.5464,7.03,86,100,18.61,overcast clouds
82,Tateyama,JP,2021-10-24 12:41:22,34.9833,139.8667,58.01,62,100,8.12,overcast clouds
83,Atuona,PF,2021-10-24 12:39:52,-9.8,-139.0333,77.52,73,14,14.79,few clouds
84,Saint George,US,2021-10-24 12:37:21,37.1041,-113.5841,62.35,53,1,1.01,clear sky
85,Tasiilaq,GL,2021-10-24 12:40:26,65.6145,-37.6368,32.16,94,100,19.04,snow
86,Hurghada,EG,2021-10-24 12:38:57,27.2574,33.8129,80.24,43,0,20.6,clear sky
87,Pindi Gheb,PK,2021-10-24 12:41:23,33.2402,72.2661,64.42,65,0,16.78,clear sky
88,Ribeira Grande,PT,2021-10-24 12:40:04,38.5167,-28.7,70.2,60,40,10.36,scattered clouds
89,Butaritari,KI,2021-10-24 12:40:16,3.0707,172.7902,80.22,71,11,0.85,few clouds
90,Santarem,BR,2021-10-24 12:41:24,-2.4431,-54.7083,82.53,83,40,11.5,scattered clouds
91,Lebu,CL,2021-10-24 12:41:24,-37.6167,-73.65,54.75,74,5,5.7,clear sky
92,Ayagoz,KZ,2021-10-24 12:41:20,47.9714,80.4392,40.42,47,4,1.36,clear sky
93,Geraldton,AU,2021-10-24 12:41:25,-28.7667,114.6,66.61,77,90,14.97,overcast clouds
94,Chokurdakh,RU,2021-10-24 12:41:25,70.6333,147.9167,-15.09,100,95,3.6,overcast clouds
95,Ambunti,PG,2021-10-24 12:41:26,-4.2365,142.8448,73.47,98,100,2.24,heavy intensity rain
96,Luderitz,NA,2021-10-24 12:41:26,-26.6481,15.1594,72.75,47,0,27.78,clear sky
97,Linxia,CN,2021-10-24 12:41:26,35.6003,103.2064,50.29,61,97,2.46,overcast clouds
98,Cabo San Lucas,MX,2021-10-24 12:40:01,22.8909,-109.9124,75.51,78,1,4.0,clear sky
99,Kushiro,JP,2021-10-24 12:41:27,42.975,144.3747,46.4,82,0,6.55,clear sky
100,Alice Springs,AU,2021-10-24 12:41:27,-23.7,133.8833,71.15,30,100,10.36,overcast clouds
101,Mamou,GN,2021-10-24 12:41:27,10.5,-12.0,81.91,64,100,5.55,overcast clouds
102,Rincon,US,2021-10-24 12:41:28,32.296,-81.2354,68.86,100,40,4.61,fog
103,Mezen,RU,2021-10-24 12:41:28,65.8522,44.24,28.4,85,14,8.61,few clouds
104,Kargasok,RU,2021-10-24 12:41:28,59.0556,80.8572,40.69,78,17,13.09,few clouds
105,Pershotravneve,UA,2021-10-24 12:41:29,51.3929,28.8684,42.84,56,99,10.8,overcast clouds
106,Muisne,EC,2021-10-24 12:41:29,0.6,-80.0333,76.03,85,100,8.41,overcast clouds
107,Burayevo,RU,2021-10-24 12:41:30,55.8407,55.4083,44.89,64,86,12.64,overcast clouds
108,Namatanai,PG,2021-10-24 12:41:30,-3.6667,152.4333,79.92,81,92,6.93,overcast clouds
109,Tiksi,RU,2021-10-24 12:41:30,71.6872,128.8694,4.41,96,100,7.99,overcast clouds
110,Victoria,HK,2021-10-24 12:37:55,22.2855,114.1577,73.38,70,40,1.99,light rain
111,Dingle,PH,2021-10-24 12:41:31,10.9995,122.6711,77.16,89,100,2.35,moderate rain
112,Lompoc,US,2021-10-24 12:41:31,34.6391,-120.4579,57.13,88,90,4.61,overcast clouds
113,Hualmay,PE,2021-10-24 12:41:32,-11.0964,-77.6139,63.1,81,61,8.14,broken clouds
114,Sao Joao Da Barra,BR,2021-10-24 12:41:32,-21.6403,-41.0511,80.69,74,11,12.15,few clouds
115,Owatonna,US,2021-10-24 12:41:32,44.0839,-93.226,39.56,72,1,1.99,clear sky
116,Heishan,CN,2021-10-24 12:41:33,41.6892,122.1128,48.58,82,0,7.56,clear sky
117,Komsomolskiy,UZ,2021-10-24 12:41:33,40.4272,71.7189,61.52,23,0,2.3,clear sky
118,Dengzhou,CN,2021-10-24 12:41:34,37.8086,120.7508,54.82,56,0,4.68,clear sky
119,Purpe,RU,2021-10-24 12:41:34,64.4803,76.6897,26.83,82,68,22.84,broken clouds
120,Chuy,UY,2021-10-24 12:41:34,-33.6971,-53.4616,61.29,49,0,9.46,clear sky
121,Peterhead,GB,2021-10-24 12:41:35,57.5058,-1.7981,61.12,84,9,23.82,clear sky
122,Ron Phibun,TH,2021-10-24 12:41:35,8.1791,99.8542,82.09,88,100,3.56,overcast clouds
123,Tacoronte,ES,2021-10-24 12:41:35,28.4769,-16.4102,71.26,60,40,3.0,scattered clouds
124,Morrinhos,BR,2021-10-24 12:41:36,-17.7311,-49.0994,84.85,48,100,15.61,light rain
125,Khatanga,RU,2021-10-24 12:40:21,71.9667,102.5,0.5,91,73,15.93,broken clouds
126,Sandy Bay,AU,2021-10-24 12:41:36,-42.913,147.3532,49.89,78,75,3.0,light intensity shower rain
127,Crixas,BR,2021-10-24 12:41:36,-14.5489,-49.9692,90.19,45,100,7.81,overcast clouds
128,Constitucion,CL,2021-10-24 12:40:56,-35.3333,-72.4167,58.66,58,0,8.16,clear sky
129,Portland,US,2021-10-24 12:39:58,45.5234,-122.6762,55.0,90,90,1.99,light rain
130,Havre-Saint-Pierre,CA,2021-10-24 12:41:37,50.2334,-63.5986,46.99,100,90,4.61,overcast clouds
131,Bathsheba,BB,2021-10-24 12:41:38,13.2167,-59.5167,86.61,66,40,23.02,scattered clouds
132,Adwa,ET,2021-10-24 12:41:38,14.1646,38.8955,79.09,28,19,9.4,few clouds
133,Tawang,IN,2021-10-24 12:41:38,27.5833,91.8667,47.21,87,78,1.21,broken clouds
134,Arraial Do Cabo,BR,2021-10-24 12:40:00,-22.9661,-42.0278,80.56,69,40,13.8,scattered clouds
135,Kaitangata,NZ,2021-10-24 12:41:39,-46.2817,169.8464,50.61,96,85,1.61,overcast clouds
136,Luxeuil-Les-Bains,FR,2021-10-24 12:41:39,47.8171,6.365,62.33,55,0,5.75,clear sky
137,Pedernales,DO,2021-10-24 12:41:39,18.0384,-71.744,82.96,59,13,2.82,few clouds
138,Byron Bay,AU,2021-10-24 12:41:40,-28.65,153.6167,71.87,85,100,7.72,overcast clouds
139,Placido De Castro,BR,2021-10-24 12:41:40,-10.3353,-67.1856,89.69,53,6,4.83,clear sky
140,Sorland,NO,2021-10-24 12:41:40,67.667,12.6934,39.27,79,100,23.06,overcast clouds
141,Maceio,BR,2021-10-24 12:41:41,-9.6658,-35.7353,89.04,66,75,17.27,broken clouds
142,Georgetown,MY,2021-10-24 12:36:58,5.4112,100.3354,84.13,85,40,5.99,thunderstorm with light rain
143,Port Macquarie,AU,2021-10-24 12:41:41,-31.4333,152.9167,63.9,74,100,6.08,overcast clouds
144,Aklavik,CA,2021-10-24 12:40:05,68.2191,-135.0107,25.63,95,94,2.28,overcast clouds
145,Hithadhoo,MV,2021-10-24 12:39:58,-0.6,73.0833,82.26,75,61,13.35,broken clouds
146,Log,RU,2021-10-24 12:41:42,49.4844,43.8613,51.21,38,100,9.06,overcast clouds
147,Cherskiy,RU,2021-10-24 12:41:42,68.75,161.3,-9.04,98,100,5.97,overcast clouds
148,Jiblah,YE,2021-10-24 12:41:43,13.9216,44.1467,73.08,22,3,4.99,clear sky
149,Port Blair,IN,2021-10-24 12:41:43,11.6667,92.75,81.28,77,14,4.54,few clouds
150,Bethel,US,2021-10-24 12:37:45,41.3712,-73.414,48.49,91,40,3.44,scattered clouds
151,Gorodovikovsk,RU,2021-10-24 12:41:43,46.0878,41.9335,52.61,83,100,4.9,moderate rain
152,Alpine,US,2021-10-24 12:41:44,32.835,-116.7664,56.43,84,1,0.0,clear sky
153,Dolores,AR,2021-10-24 12:41:44,-36.3132,-57.6792,57.7,49,0,10.33,clear sky
154,Rio Grande,BR,2021-10-24 12:41:44,-32.035,-52.0986,64.51,59,0,16.62,clear sky
155,Borovskoy,KZ,2021-10-24 12:41:45,53.8,64.15,54.95,36,100,20.87,overcast clouds
156,Dongsheng,CN,2021-10-24 12:41:45,39.8161,109.9776,46.26,35,100,2.89,overcast clouds
157,Amapa,BR,2021-10-24 12:41:45,1.0,-52.0,86.27,58,22,5.37,few clouds
